Designator,Mid X,Mid Y,Rotation,Layer
C1,138.624098,-86.892342,0.0,top
C10,196.280602,-85.176608,270.0,top
C11,196.280602,-90.951608,270.0,top
C12,197.780602,-85.176608,270.0,top
C13,230.021719,-65.493812,0.0,top
C14,230.546719,-66.993812,0.0,top
C15,226.52,-67.0,180.0,top
C16,148.75,-73.25,90.0,top
C17,147.25,-73.77,90.0,top
C2,151.099098,-86.892342,0.0,top
C3,163.124098,-86.892342,0.0,top
C4,175.624098,-86.892342,0.0,top
C5,228.157229,-50.006748,270.0,top
C6,215.402434,-42.371953,270.0,top
C7,183.380602,-89.951608,180.0,top
C8,204.996068,-51.360113,0.0,top
C9,197.780602,-90.951608,270.0,top
F1,226.380602,-115.411608,180.0,top
H5,229.75,-94.25,90.0,top
L1,222.358076,-39.96541,0.0,top
LED1,214.102434,-50.751953,0.0,top
LED2,142.286668,-52.714759,90.0,top
LED3,155.050903,-52.646111,90.0,top
LED4,167.036668,-52.464759,90.0,top
LED5,179.536668,-52.464759,90.0,top
LED6,182.730602,-84.951608,0.0,top
P1,136.584098,-113.892342,180.0,top
P2,149.134336,-113.836786,180.0,top
P3,161.164098,-113.892342,180.0,top
P4,173.654177,-113.801072,180.0,top
P5,137.026879,-43.435667,0.0,top
P6,149.577117,-43.435667,0.0,top
P7,161.606879,-43.435667,0.0,top
P8,174.096958,-43.435667,0.0,top
P9,226.380602,-107.411608,270.0,top
PJ1,200.471068,-44.360113,270.0,top
PJ2,187.987561,-44.362413,270.0,top
PS1,200.580602,-105.951608,180.0,top
R1,134.124098,-104.354842,90.0,top
R10,137.966879,-61.685667,270.0,top
R11,150.466879,-49.435667,180.0,top
R12,150.466879,-61.685667,270.0,top
R13,162.716879,-49.435667,180.0,top
R14,162.536668,-61.664759,270.0,top
R15,175.141879,-49.435667,180.0,top
R16,175.25,-61.49,270.0,top
R17,214.812434,-49.001953,0.0,top
R18,140.536668,-51.654759,90.0,top
R19,153.286668,-51.674759,90.0,top
R2,146.594336,-104.299286,90.0,top
R20,165.286668,-51.404759,90.0,top
R21,177.786668,-51.414759,90.0,top
R22,222.323603,-53.41741,180.0,top
R23,205.471068,-52.860113,180.0,top
R24,203.471068,-52.860113,180.0,top
R25,192.497561,-51.362413,0.0,top
R26,218.297306,-39.549357,270.0,top
R27,219.797306,-39.549357,270.0,top
R28,185.780602,-84.951608,270.0,top
R29,228.5,-67.02,0.0,top
R3,158.624098,-103.892342,90.0,top
R30,146.75,-76.5,270.0,top
R31,210.76,-82.75,0.0,top
R32,146.62,-67.8,90.0,top
R33,210.76,-81.39,0.0,top
R34,147.08,-70.59,0.0,top
R4,171.114177,-103.801072,90.0,top
R5,134.211598,-86.892342,180.0,top
R6,146.599098,-86.892342,180.0,top
R7,158.536598,-86.892342,180.0,top
R8,171.211598,-86.892342,180.0,top
R9,137.966879,-49.435667,180.0,top
SW1,229.15,-60.5,90.0,top
SW2,224.25,-96.25,90.0,top
TF1,139.673445,-74.932723,270.0,top
U1,136.731879,-55.440667,270.0,top
U10,221.752434,-46.691953,180.0,top
U11,210.652434,-43.371953,180.0,top
U12,225.073603,-38.66741,90.0,top
U14,191.780602,-87.951608,270.0,top
U2,149.282117,-55.440667,270.0,top
U3,161.311879,-55.440667,270.0,top
U4,173.801958,-55.440667,270.0,top
U5,136.624098,-93.892342,0.0,top
U6,149.094336,-93.836786,0.0,top
U7,161.124098,-93.892342,0.0,top
U8,173.614177,-93.801072,0.0,top
U9,221.900602,-78.201608,270.0,top
