Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",1206,4,4.7uF,
"C10, C13, C16, C18, C5, C6, C8, C9",0603,8,10uF,
"C11, C12, C14, C17",0402,4,100nF,
C7,CAP-SMD_BD5.0-L5.3-W5.3-LS6.0-FD-H5.7,1,JVJ10V100M5X5,C46550392
F1,F2410,1,MF2410F1.000TM,C83798
H5,HDR-TH_4P-P2.54-V-F,1,2.54-1*4P母,C2718488
L1,0402,1,47nH,
LED1,LED0603-RD,1,ORH-B36G,C193191
"LED2, LED3, LED4, LED5, LED6",LED0805-R-RD,5,0805G (Green),C2297
"P1, P2, P3, P4, P5, P6, P7, P8, P9",CONN-TH_2P-P5.00_WJ500V-5.08-2P,9,WJ500V-5.08-2P-14-00A,C8465
"PJ1, PJ2",AUDIO-TH_PJ-307,2,PJ-307_C2939173,C2939173
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M05,
"R1, R2, R3, R4",2512,4,68k,
"R10, R12, R14, R16, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R30, R32, R35, R36, R37",0402,19,10k,
"R11, R13, R15, R9",0603,4,2.2k,
R17,0402,1,680,
R28,0402,1,1k,
R29,0402,1,5.1k,
"R31, R33, R34",0402,3,33,
"R5, R6, R7, R8",0805,4,10k,
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,ENABLE,C318884
SW2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,BOOT,C318884
TF1,TF-SMD_SH_SH-TF-01A,1,SH-TF-01A,C22383473
"U1, U2, U3, U4",DIP-4_W7.62mm,4,PC817,
U10,GPSM-SMD_ATGM336H-TR,1,ATGM336H-5N31,C90770
U11,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,AT24C32M/TR,C2688466
U12,IPEX-SMD_BWIPX-1-001E,1,BWU.FL-IPEX1,C5137195
U14,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U5, U6, U7, U8",PDIP-6_L8.5-W6.5-P2.54-LS7.6-BL,4,H11AA1M,C416004
U9,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R8),C2913202
