Designator,Mid X,Mid Y,Rotation,Layer
C1,138.624098,-86.892342,0.0,top
C10,237.95,-96.2,0.0,top
C11,240.14,-106.72,180.0,top
C12,237.95,-94.7,0.0,top
C13,239.466169,-56.976312,0.0,top
C14,239.991169,-58.476312,0.0,top
C16,148.75,-73.25,90.0,top
C17,147.25,-73.77,90.0,top
C18,236.14445,-57.7875,90.0,top
C2,151.099098,-86.892342,0.0,top
C3,163.124098,-86.892342,0.0,top
C4,175.624098,-86.892342,0.0,top
C5,233.666865,-50.044076,270.0,top
C6,220.91207,-42.409281,270.0,top
C7,236.99595,-115.236349,270.0,top
C8,204.996068,-51.360113,0.0,top
C9,239.57,-108.09,180.0,top
F1,186.0,-103.5,0.0,top
H5,239.650833,-86.121666,90.0,top
L1,227.867712,-40.002738,0.0,top
LED1,219.61207,-50.789281,0.0,top
LED2,142.286668,-52.714759,90.0,top
LED3,155.050903,-52.646111,90.0,top
LED4,167.036668,-52.464759,90.0,top
LED5,179.536668,-52.464759,90.0,top
LED6,237.79072,-110.239559,180.0,top
P1,136.584098,-113.892342,180.0,top
P2,149.134336,-113.836786,180.0,top
P3,161.164098,-113.892342,180.0,top
P4,173.654177,-113.801072,180.0,top
P5,137.026879,-43.435667,0.0,top
P6,149.577117,-43.435667,0.0,top
P7,161.606879,-43.435667,0.0,top
P8,174.096958,-43.435667,0.0,top
P9,186.04,-113.75,180.0,top
PJ1,200.471068,-44.360113,270.0,top
PJ2,187.987561,-44.362413,270.0,top
PS1,213.2525,-106.5,0.0,top
R1,134.124098,-104.354842,90.0,top
R10,137.966879,-61.685667,270.0,top
R11,150.466879,-49.435667,180.0,top
R12,150.466879,-61.685667,270.0,top
R13,162.716879,-49.435667,180.0,top
R14,162.536668,-61.664759,270.0,top
R15,175.141879,-49.435667,180.0,top
R16,175.25,-61.49,270.0,top
R17,220.32207,-49.039281,0.0,top
R18,140.536668,-51.654759,90.0,top
R19,153.286668,-51.674759,90.0,top
R2,146.594336,-104.299286,90.0,top
R20,165.286668,-51.404759,90.0,top
R21,177.786668,-51.414759,90.0,top
R22,227.833239,-53.454738,180.0,top
R23,205.471068,-52.860113,180.0,top
R24,203.471068,-52.860113,180.0,top
R25,192.497561,-51.362413,0.0,top
R26,223.806942,-39.586685,270.0,top
R27,225.306942,-39.586685,270.0,top
R28,234.840719,-110.248397,90.0,top
R29,237.94445,-58.5025,0.0,top
R3,158.624098,-103.892342,90.0,top
R30,146.75,-76.5,270.0,top
R31,220.43,-73.616934,0.0,top
R32,146.62,-67.8,90.0,top
R33,220.43,-72.37,0.0,top
R34,147.08,-70.59,0.0,top
R35,235.75,-79.75,270.0,top
R36,147.01,-69.5,0.0,top
R37,150.25,-73.75,90.0,top
R4,171.114177,-103.801072,90.0,top
R5,134.211598,-86.892342,180.0,top
R6,146.599098,-86.892342,180.0,top
R7,158.536598,-86.892342,180.0,top
R8,171.211598,-86.892342,180.0,top
R9,137.966879,-49.435667,180.0,top
SW1,238.59445,-51.9825,90.0,top
SW2,233.953282,-88.084612,0.0,top
TF1,139.673445,-74.932723,270.0,top
U1,136.731879,-55.440667,270.0,top
U10,227.26207,-46.729281,180.0,top
U11,216.16207,-43.409281,180.0,top
U12,230.583239,-38.704738,90.0,top
U14,237.944081,-101.590198,270.0,top
U2,149.282117,-55.440667,270.0,top
U3,161.311879,-55.440667,270.0,top
U4,173.801958,-55.440667,270.0,top
U5,136.624098,-93.892342,0.0,top
U6,149.094336,-93.836786,0.0,top
U7,161.124098,-93.892342,0.0,top
U8,173.614177,-93.801072,0.0,top
U9,231.34182,-69.163582,270.0,top
